procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0    512 16105508 2385164 100164432    0    0     0     4 14735 3713 23  3 74  0  0
17  0    512 16107384 2385164 100164448    0    0     0   192 14365 3517 22  3 74  0  0
18  0    512 16110108 2385164 100164440    0    0     0     0 15968 4377 22  3 74  0  0
16  0    512 16113640 2385164 100164576    0    0     0  1572 10452 4780 23  3 74  0  0
17  0    512 16115908 2385164 100164600    0    0    36     8 15268 4443 23  4 73  0  0
16  0    512 16115252 2385164 100164640    0    0     0     0 15725 2381 23  3 74  0  0
16  0    512 16115804 2385164 100164776    0    0     0   112 16530 3175 23  4 73  0  0
17  0    512 16123468 2385164 100164792    0    0   104     4 15191 2695 23  3 75  0  0
17  0    512 16120488 2385164 100164992    0    0     0  1876 15599 2879 23  3 74  0  0
16  0    512 16123668 2385168 100165008    0    0     0    28 15399 2733 23  3 74  0  0
17  0    512 16119284 2385168 100165024    0    0     0     4 15619 3229 22  4 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0    512 16112988 2385168 100165024    0    0     0    28 15978 3254 22  4 73  0  0
17  0    512 16114700 2385168 100165040    0    0     0     8 12731 2558 19  6 74  0  0
16  0    512 16118488 2385168 100165040    0    0     0    92 10466 2508 19  7 74  0  0
16  0    512 16112632 2385172 100165040    0    0    48  1440 8007 2318 22  4 74  0  0
19  0    512 16100472 2385172 100165096    0    0     0     8 7910 2414 20  6 74  0  0
16  0    512 16106452 2385172 100165168    0    0    52     4 13799 3518 22  5 73  0  0
18  0    512 16107600 2385172 100165176    0    0     0     4 13733 3192 22  4 75  0  0
16  0    512 16112400 2385176 100165176    0    0     0   168 14215 4575 23  4 73  0  0
16  0    512 16112504 2385180 100165312    0    0     0  1508 11275 5020 23  3 74  0  0
18  0    512 16107684 2385180 100165320    0    0     0    36 14872 4156 23  3 74  0  0
17  0    512 16106500 2385180 100165328    0    0     0     4 15794 2622 23  4 74  0  0
16  0    512 16110264 2385180 100165336    0    0     0     4 15383 2510 23  3 74  0  0
16  0    512 16110812 2385180 100165336    0    0     0   192 15669 2634 23  3 74  0  0
17  0    512 16112096 2385180 100165352    0    0     0  1452 15639 2770 23  3 74  0  0
19  0    512 16113360 2385184 100165368    0    0     0    48 15796 2211 24  3 74  0  0
19  0    512 16116780 2385184 100165360    0    0   112    16 16667 2459 23  3 74  0  0
16  0    512 16118024 2385184 100165488    0    0     0   100 16313 2609 23  4 73  0  0
19  0    512 16119444 2385184 100165488    0    0     0   116 13055 2524 23  3 74  0  0
